# xMin,xMax,yMin,yMax,zMin,zMax,Type,Wall
8.0,20.0,78.0,92.0,0,4.5,1,1
76.0,92.0,74.0,90.0,0,5.0,1,1
42.0,58.0,10.0,17.5,0,6.0,1,1
44.0,56.0,1.5,14.5,0,2.8,2,0
18.0,22.0,20.0,70.0,0,1.8,2,0
78.0,82.0,20.0,70.0,0,1.8,2,0
24.0,26.0,24.0,26.0,0,1.8,2,0
24.0,26.0,28.0,30.0,0,1.8,2,0
24.0,26.0,32.0,34.0,0,1.8,2,0
24.0,26.0,36.0,38.0,0,1.8,2,0
24.0,26.0,40.0,42.0,0,1.8,2,0
24.0,26.0,44.0,46.0,0,1.8,2,0
24.0,26.0,48.0,50.0,0,1.8,2,0
24.0,26.0,52.0,54.0,0,1.8,2,0
24.0,26.0,56.0,58.0,0,1.8,2,0
24.0,26.0,60.0,62.0,0,1.8,2,0
24.0,26.0,64.0,66.0,0,1.8,2,0
29.0,31.0,24.0,26.0,0,1.8,2,0
29.0,31.0,28.0,30.0,0,1.8,2,0
29.0,31.0,32.0,34.0,0,1.8,2,0
29.0,31.0,36.0,38.0,0,1.8,2,0
29.0,31.0,40.0,42.0,0,1.8,2,0
29.0,31.0,44.0,46.0,0,1.8,2,0
29.0,31.0,48.0,50.0,0,1.8,2,0
29.0,31.0,52.0,54.0,0,1.8,2,0
29.0,31.0,56.0,58.0,0,1.8,2,0
29.0,31.0,60.0,62.0,0,1.8,2,0
29.0,31.0,64.0,66.0,0,1.8,2,0
34.0,36.0,24.0,26.0,0,1.8,2,0
34.0,36.0,28.0,30.0,0,1.8,2,0
34.0,36.0,32.0,34.0,0,1.8,2,0
34.0,36.0,36.0,38.0,0,1.8,2,0
34.0,36.0,40.0,42.0,0,1.8,2,0
34.0,36.0,44.0,46.0,0,1.8,2,0
34.0,36.0,48.0,50.0,0,1.8,2,0
34.0,36.0,52.0,54.0,0,1.8,2,0
34.0,36.0,56.0,58.0,0,1.8,2,0
34.0,36.0,60.0,62.0,0,1.8,2,0
34.0,36.0,64.0,66.0,0,1.8,2,0
39.0,41.0,24.0,26.0,0,1.8,2,0
39.0,41.0,28.0,30.0,0,1.8,2,0
39.0,41.0,32.0,34.0,0,1.8,2,0
39.0,41.0,36.0,38.0,0,1.8,2,0
39.0,41.0,40.0,42.0,0,1.8,2,0
39.0,41.0,44.0,46.0,0,1.8,2,0
39.0,41.0,48.0,50.0,0,1.8,2,0
39.0,41.0,52.0,54.0,0,1.8,2,0
39.0,41.0,56.0,58.0,0,1.8,2,0
39.0,41.0,60.0,62.0,0,1.8,2,0
39.0,41.0,64.0,66.0,0,1.8,2,0
44.0,46.0,24.0,26.0,0,1.8,2,0
44.0,46.0,28.0,30.0,0,1.8,2,0
44.0,46.0,32.0,34.0,0,1.8,2,0
44.0,46.0,36.0,38.0,0,1.8,2,0
44.0,46.0,40.0,42.0,0,1.8,2,0
