# Tiempo(s), X(m), Y(m), Z(m)
0.0, 5.0, 8.0, 0.25
1.0, 6.0, 8.0, 0.25
2.0, 7.0, 8.0, 0.25
3.0, 8.0, 8.0, 0.25
4.0, 9.0, 8.0, 0.25
5.0, 10.0, 8.0, 0.25
6.0, 11.0, 8.0, 0.25
7.0, 12.0, 8.0, 0.25
8.0, 13.0, 8.0, 0.25
9.0, 14.0, 8.0, 0.25
10.0, 15.0, 8.0, 0.25
11.0, 16.0, 8.0, 0.25
12.0, 17.0, 8.0, 0.25
13.0, 18.0, 8.0, 0.25
14.0, 19.0, 8.0, 0.25
15.0, 20.0, 8.0, 0.25
16.0, 21.0, 8.0, 0.25
17.0, 22.0, 8.0, 0.25
18.0, 23.0, 8.0, 0.25
19.0, 24.0, 8.0, 0.25
20.0, 25.0, 8.0, 0.25
21.0, 26.0, 8.0, 0.25
22.0, 27.0, 8.0, 0.25
23.0, 28.0, 8.0, 0.25
24.0, 29.0, 8.0, 0.25
25.0, 30.0, 8.0, 0.25
26.0, 31.0, 8.0, 0.25
27.0, 32.0, 8.0, 0.25
28.0, 33.0, 8.0, 0.25
29.0, 34.0, 8.0, 0.25
30.0, 35.0, 8.0, 0.25
31.0, 36.0, 8.0, 0.25
32.0, 37.0, 8.0, 0.25
33.0, 38.0, 8.0, 0.25
34.0, 39.0, 8.0, 0.25
35.0, 40.0, 8.0, 0.25
36.0, 41.0, 8.0, 0.25
37.0, 42.0, 8.0, 0.25
38.0, 43.0, 8.0, 0.25
39.0, 44.0, 8.0, 0.25
40.0, 45.0, 8.0, 0.25
41.0, 46.0, 8.0, 0.25
42.0, 47.0, 8.0, 0.25
43.0, 48.0, 8.0, 0.25
44.0, 49.0, 8.0, 0.25
45.0, 50.0, 8.0, 0.25
46.0, 51.0, 8.0, 0.25
47.0, 52.0, 8.0, 0.25
48.0, 53.0, 8.0, 0.25
49.0, 54.0, 8.0, 0.25
50.0, 55.0, 8.0, 0.25
51.0, 56.0, 8.0, 0.25
52.0, 57.0, 8.0, 0.25
53.0, 58.0, 8.0, 0.25
54.0, 59.0, 8.0, 0.25
55.0, 60.0, 8.0, 0.25
56.0, 61.0, 8.0, 0.25
57.0, 62.0, 8.0, 0.25
58.0, 63.0, 8.0, 0.25
59.0, 64.0, 8.0, 0.25
60.0, 65.0, 8.0, 0.25
61.0, 66.0, 8.0, 0.25
62.0, 67.0, 8.0, 0.25
63.0, 68.0, 8.0, 0.25
64.0, 69.0, 8.0, 0.25
65.0, 70.0, 8.0, 0.25
66.0, 71.0, 8.0, 0.25
67.0, 72.0, 8.0, 0.25
68.0, 73.0, 8.0, 0.25
69.0, 74.0, 8.0, 0.25
70.0, 75.0, 8.0, 0.25
71.0, 76.0, 8.0, 0.25
72.0, 77.0, 8.0, 0.25
73.0, 78.0, 8.0, 0.25
74.0, 79.0, 8.0, 0.25
75.0, 80.0, 8.0, 0.25
76.0, 81.0, 8.0, 0.25
77.0, 82.0, 8.0, 0.25
78.0, 83.0, 8.0, 0.25
79.0, 84.0, 8.0, 0.25
80.0, 85.0, 8.0, 0.25
81.0, 86.0, 8.0, 0.25
82.0, 87.0, 8.0, 0.25
83.0, 88.0, 8.0, 0.25
84.0, 89.0, 8.0, 0.25
85.0, 90.0, 8.0, 0.25
86.0, 91.0, 8.0, 0.25
87.0, 92.0, 8.0, 0.25
88.0, 93.0, 8.0, 0.25
89.0, 94.0, 8.0, 0.25
90.0, 95.0, 8.0, 0.25
91.0, 95.0, 9.0, 0.25
92.0, 95.0, 10.0, 0.25
93.0, 95.0, 11.0, 0.25
94.0, 95.0, 12.0, 0.25
95.0, 95.0, 13.0, 0.25
96.0, 95.0, 13.0, 0.25
97.0, 94.0, 13.0, 0.25
98.0, 93.0, 13.0, 0.25
99.0, 92.0, 13.0, 0.25
100.0, 91.0, 13.0, 0.25
101.0, 90.0, 13.0, 0.25
102.0, 89.0, 13.0, 0.25
103.0, 88.0, 13.0, 0.25
104.0, 87.0, 13.0, 0.25
105.0, 86.0, 13.0, 0.25
106.0, 85.0, 13.0, 0.25
107.0, 84.0, 13.0, 0.25
108.0, 83.0, 13.0, 0.25
109.0, 82.0, 13.0, 0.25
110.0, 81.0, 13.0, 0.25
111.0, 80.0, 13.0, 0.25
112.0, 79.0, 13.0, 0.25
113.0, 78.0, 13.0, 0.25
114.0, 77.0, 13.0, 0.25
115.0, 76.0, 13.0, 0.25
116.0, 75.0, 13.0, 0.25
117.0, 74.0, 13.0, 0.25
118.0, 73.0, 13.0, 0.25
119.0, 72.0, 13.0, 0.25
120.0, 71.0, 13.0, 0.25
121.0, 70.0, 13.0, 0.25
122.0, 69.0, 13.0, 0.25
123.0, 68.0, 13.0, 0.25
124.0, 67.0, 13.0, 0.25
125.0, 66.0, 13.0, 0.25
126.0, 65.0, 13.0, 0.25
127.0, 64.0, 13.0, 0.25
128.0, 63.0, 13.0, 0.25
129.0, 62.0, 13.0, 0.25
130.0, 61.0, 13.0, 0.25
131.0, 60.0, 13.0, 0.25
132.0, 59.0, 13.0, 0.25
133.0, 58.0, 13.0, 0.25
134.0, 57.0, 13.0, 0.25
135.0, 56.0, 13.0, 0.25
136.0, 55.0, 13.0, 0.25
137.0, 54.0, 13.0, 0.25
138.0, 53.0, 13.0, 0.25
139.0, 52.0, 13.0, 0.25
140.0, 51.0, 13.0, 0.25
141.0, 50.0, 13.0, 0.25
142.0, 49.0, 13.0, 0.25
143.0, 48.0, 13.0, 0.25
144.0, 47.0, 13.0, 0.25
145.0, 46.0, 13.0, 0.25
146.0, 45.0, 13.0, 0.25
147.0, 44.0, 13.0, 0.25
148.0, 43.0, 13.0, 0.25
149.0, 42.0, 13.0, 0.25
150.0, 41.0, 13.0, 0.25
151.0, 40.0, 13.0, 0.25
152.0, 39.0, 13.0, 0.25
153.0, 38.0, 13.0, 0.25
154.0, 37.0, 13.0, 0.25
155.0, 36.0, 13.0, 0.25
156.0, 35.0, 13.0, 0.25
157.0, 34.0, 13.0, 0.25
158.0, 33.0, 13.0, 0.25
159.0, 32.0, 13.0, 0.25
160.0, 31.0, 13.0, 0.25
161.0, 30.0, 13.0, 0.25
162.0, 29.0, 13.0, 0.25
163.0, 28.0, 13.0, 0.25
164.0, 27.0, 13.0, 0.25
165.0, 26.0, 13.0, 0.25
166.0, 25.0, 13.0, 0.25
167.0, 24.0, 13.0, 0.25
168.0, 23.0, 13.0, 0.25
169.0, 22.0, 13.0, 0.25
170.0, 21.0, 13.0, 0.25
171.0, 20.0, 13.0, 0.25
172.0, 19.0, 13.0, 0.25
173.0, 18.0, 13.0, 0.25
174.0, 17.0, 13.0, 0.25
175.0, 16.0, 13.0, 0.25
176.0, 15.0, 13.0, 0.25
177.0, 14.0, 13.0, 0.25
178.0, 13.0, 13.0, 0.25
179.0, 12.0, 13.0, 0.25
180.0, 11.0, 13.0, 0.25
181.0, 10.0, 13.0, 0.25
182.0, 9.0, 13.0, 0.25
183.0, 8.0, 13.0, 0.25
184.0, 7.0, 13.0, 0.25
185.0, 6.0, 13.0, 0.25
186.0, 5.0, 13.0, 0.25
187.0, 5.0, 14.0, 0.25
188.0, 5.0, 15.0, 0.25
189.0, 5.0, 16.0, 0.25
190.0, 5.0, 17.0, 0.25
191.0, 5.0, 18.0, 0.25
192.0, 5.0, 18.0, 0.25
