# Tiempo(s), X(m), Y(m), Z(m)
0.0, -2.2, -0.5, 0.0
0.2, -2.2, -0.5, 0.0
0.4, -2.2, -0.5, 0.0
0.6, -2.2, -0.5, 0.0
0.8, -2.2, -0.5, 0.0
1.0, -2.2, -0.5, 0.0
1.2, -2.2, -0.5, 0.0
1.4, -2.2, -0.5, 0.0
1.6, -2.2, -0.5, 0.0
1.8, -2.2, -0.5, 0.0
2.0, -2.2, -0.5, 0.0
2.2, -2.2, -0.5, 0.0
2.4, -2.2, -0.5, 0.0
2.6, -2.2, -0.5, 0.0
2.8, -2.2, -0.5, 0.0
3.0, -2.2, -0.5, 0.0
3.2, -2.2, -0.5, 0.0
3.4, -2.2, -0.5, 0.0
3.6, -2.2, -0.5, 0.0
3.8, -2.2, -0.5, 0.0
4.0, -2.2, -0.5, 0.0
4.2, -2.2, -0.5, 0.0
4.4, -2.2, -0.5, 0.0
4.6, -2.2, -0.5, 0.0
4.8, -2.2, -0.5, 0.0
5.0, -2.2, -0.5, 0.0
5.2, -2.2, -0.5, 0.0
5.4, -2.2, -0.5, 0.0
5.6, -2.2, -0.5, 0.0
5.8, -2.2, -0.5, 0.0
6.0, -2.2, -0.5, 0.0
6.2, -2.2, -0.5, 0.0
6.4, -2.2, -0.5, 0.0
6.6, -2.2, -0.5, 0.0
6.8, -2.2, -0.5, 0.0
7.0, -2.1, -0.5, 0.0
7.2, -2.1, -0.5, 0.0
7.4, -2.0, -0.5, 0.0
7.6, -2.0, -0.6, 0.0
7.8, -2.0, -0.6, 0.0
8.0, -1.9, -0.6, 0.0
8.2, -1.9, -0.6, 0.0
8.4, -1.8, -0.6, 0.0
8.6, -1.8, -0.6, 0.0
8.8, -1.7, -0.6, 0.0
9.0, -1.7, -0.6, 0.0
9.2, -1.7, -0.6, 0.0
9.4, -1.6, -0.6, 0.0
9.6, -1.6, -0.6, 0.0
9.8, -1.5, -0.6, 0.0
10.0, -1.5, -0.6, 0.0
10.2, -1.4, -0.7, 0.0
10.4, -1.4, -0.7, 0.0
10.6, -1.4, -0.7, 0.0
10.8, -1.3, -0.7, 0.0
11.0, -1.3, -0.7, 0.0
11.2, -1.2, -0.7, 0.0
11.4, -1.2, -0.7, 0.0
11.6, -1.1, -0.7, 0.0
11.8, -1.1, -0.7, 0.0
12.0, -1.0, -0.7, 0.0
12.2, -1.0, -0.7, 0.0
12.4, -1.0, -0.7, 0.0
12.6, -0.9, -0.7, 0.0
12.8, -0.9, -0.7, 0.0
13.0, -0.8, -0.7, 0.0
13.2, -0.8, -0.7, 0.0
13.4, -0.7, -0.7, 0.0
13.6, -0.7, -0.7, 0.0
13.8, -0.6, -0.8, 0.0
14.0, -0.6, -0.8, 0.0
14.2, -0.6, -0.8, 0.0
14.4, -0.5, -0.8, 0.0
14.6, -0.5, -0.8, 0.0
14.8, -0.5, -0.8, 0.0
15.0, -0.4, -0.9, 0.0
15.2, -0.4, -0.9, 0.0
15.4, -0.4, -0.9, 0.0
15.6, -0.4, -1.0, 0.0
15.8, -0.3, -1.0, 0.0
16.0, -0.3, -1.0, 0.0
16.2, -0.3, -1.0, 0.0
16.4, -0.2, -1.1, 0.0
16.6, -0.2, -1.1, 0.0
16.8, -0.2, -1.1, 0.0
17.0, -0.1, -1.1, 0.0
17.2, -0.1, -1.2, 0.0
17.4, -0.1, -1.2, 0.0
17.6, -0.1, -1.2, 0.0
17.8, -0.0, -1.3, 0.0
18.0, -0.0, -1.3, 0.0
18.2, 0.0, -1.3, 0.0
18.4, 0.0, -1.3, 0.0
18.6, 0.1, -1.4, 0.0
18.8, 0.1, -1.4, 0.0
19.0, 0.1, -1.4, 0.0
19.2, 0.1, -1.5, 0.0
19.4, 0.2, -1.5, 0.0
19.6, 0.2, -1.6, 0.0
19.8, 0.2, -1.6, 0.0
20.0, 0.3, -1.6, 0.0
20.2, 0.3, -1.7, 0.0
20.4, 0.3, -1.7, 0.0
20.6, 0.4, -1.7, 0.0
20.8, 0.4, -1.7, 0.0
21.0, 0.4, -1.8, 0.0
21.2, 0.5, -1.8, 0.0
21.4, 0.5, -1.8, 0.0
21.6, 0.5, -1.8, 0.0
21.8, 0.6, -1.9, 0.0
22.0, 0.6, -1.9, 0.0
22.2, 0.6, -1.9, 0.0
22.4, 0.7, -2.0, 0.0
22.6, 0.7, -2.0, 0.0
22.8, 0.7, -2.0, 0.0
23.0, 0.7, -2.1, 0.0
23.2, 0.8, -2.1, 0.0
23.4, 0.8, -2.1, 0.0
23.6, 0.8, -2.2, 0.0
23.8, 0.9, -2.2, 0.0
24.0, 0.9, -2.2, 0.0
24.2, 0.9, -2.2, 0.0
24.4, 0.9, -2.3, 0.0
24.6, 1.0, -2.3, 0.0
24.8, 1.0, -2.3, 0.0
25.0, 1.0, -2.4, 0.0
25.2, 1.1, -2.4, 0.0
25.4, 1.1, -2.4, 0.0
25.6, 1.1, -2.5, 0.0
25.8, 1.2, -2.4, 0.0
26.0, 1.2, -2.5, 0.0
26.2, 1.2, -2.5, 0.0
26.4, 1.3, -2.5, 0.0
26.6, 1.3, -2.6, 0.0
26.8, 1.3, -2.6, 0.0
27.0, 1.4, -2.6, 0.0
27.2, 1.4, -2.7, 0.0
27.4, 1.4, -2.7, 0.0
27.6, 1.4, -2.7, 0.0
27.8, 1.5, -2.8, 0.0
28.0, 1.5, -2.8, 0.0
28.2, 1.5, -2.8, 0.0
28.4, 1.6, -2.9, 0.0
28.6, 1.6, -2.9, 0.0
28.8, 1.6, -2.9, 0.0
29.0, 1.7, -2.9, 0.0
29.2, 1.7, -2.9, 0.0
29.4, 1.7, -2.9, 0.0
29.6, 1.8, -3.0, 0.0
29.8, 1.8, -3.0, 0.0
30.0, 1.9, -3.0, 0.0
30.2, 1.9, -3.0, 0.0
30.4, 2.0, -3.0, 0.0
30.6, 2.0, -3.0, 0.0
30.8, 2.0, -3.0, 0.0
31.0, 2.1, -3.0, 0.0
31.2, 2.1, -3.0, 0.0
31.4, 2.2, -3.0, 0.0
31.6, 2.2, -3.0, 0.0
31.8, 2.2, -3.0, 0.0
32.0, 2.3, -3.0, 0.0
32.2, 2.4, -3.0, 0.0
32.4, 2.4, -3.0, 0.0
32.6, 2.5, -3.0, 0.0
32.8, 2.5, -3.0, 0.0
33.0, 2.5, -3.0, 0.0
33.2, 2.6, -3.0, 0.0
33.4, 2.6, -3.0, 0.0
33.6, 2.7, -2.9, 0.0
33.8, 2.8, -2.9, 0.0
34.0, 2.8, -2.9, 0.0
34.2, 2.9, -2.9, 0.0
34.4, 3.0, -2.9, 0.0
34.6, 3.0, -2.9, 0.0
34.8, 3.0, -2.9, 0.0
35.0, 3.0, -3.0, 0.0
35.2, 3.0, -2.9, 0.0
35.4, 3.0, -2.9, 0.0
35.6, 3.0, -2.9, 0.0
35.8, 3.0, -2.9, 0.0
36.0, 3.0, -2.9, 0.0
36.2, 3.0, -2.9, 0.0
36.4, 3.0, -3.0, 0.0
36.6, 3.0, -3.0, 0.0
36.8, 3.0, -3.0, 0.0
37.0, 3.0, -3.0, 0.0
37.2, 3.0, -3.0, 0.0
37.4, 3.0, -3.0, 0.0
37.6, 3.0, -3.0, 0.0
37.8, 3.0, -3.0, 0.0
38.0, 3.0, -3.0, 0.0
38.2, 3.0, -3.0, 0.0
38.4, 3.0, -3.0, 0.0
38.6, 3.1, -3.0, 0.0
38.8, 3.0, -3.1, 0.0
39.0, 3.0, -3.1, 0.0
39.2, 3.0, -3.1, 0.0
39.4, 3.0, -3.2, 0.0
39.6, 3.0, -3.2, 0.0
39.8, 3.0, -3.2, 0.0
40.0, 3.0, -3.3, 0.0
40.2, 3.0, -3.3, 0.0
40.4, 3.0, -3.3, 0.0
40.6, 3.0, -3.2, 0.0
40.8, 3.0, -3.2, 0.0
41.0, 2.9, -3.1, 0.0
41.2, 2.9, -3.1, 0.0
41.4, 2.9, -3.1, 0.0
41.6, 2.9, -3.0, 0.0
41.8, 2.9, -3.0, 0.0
42.0, 2.9, -2.9, 0.0
42.2, 2.8, -2.9, 0.0
42.4, 2.8, -2.9, 0.0
42.6, 2.8, -2.8, 0.0
42.8, 2.8, -2.8, 0.0
43.0, 2.8, -2.8, 0.0
43.2, 2.7, -2.7, 0.0
43.4, 2.7, -2.7, 0.0
43.6, 2.7, -2.7, 0.0
43.8, 2.7, -2.7, 0.0
44.0, 2.7, -2.6, 0.0
44.2, 2.6, -2.6, 0.0
44.4, 2.6, -2.6, 0.0
44.6, 2.6, -2.6, 0.0
44.8, 2.6, -2.6, 0.0
45.0, 2.5, -2.6, 0.0
45.2, 2.5, -2.6, 0.0
45.4, 2.5, -2.5, 0.0
45.6, 2.4, -2.5, 0.0
45.8, 2.4, -2.4, 0.0
46.0, 2.4, -2.4, 0.0
46.2, 2.4, -2.4, 0.0
46.4, 2.4, -2.3, 0.0
46.6, 2.4, -2.3, 0.0
46.8, 2.3, -2.3, 0.0
47.0, 2.3, -2.2, 0.0
47.2, 2.3, -2.2, 0.0
47.4, 2.3, -2.1, 0.0
47.6, 2.3, -2.1, 0.0
47.8, 2.3, -2.1, 0.0
48.0, 2.3, -2.0, 0.0
48.2, 2.3, -2.0, 0.0
48.4, 2.3, -1.9, 0.0
48.6, 2.3, -1.9, 0.0
48.8, 2.2, -1.9, 0.0
49.0, 2.2, -1.8, 0.0
49.2, 2.2, -1.8, 0.0
49.4, 2.2, -1.7, 0.0
49.6, 2.2, -1.7, 0.0
49.8, 2.2, -1.6, 0.0
50.0, 2.1, -1.6, 0.0
50.2, 2.1, -1.6, 0.0
50.4, 2.1, -1.5, 0.0
50.6, 2.1, -1.5, 0.0
50.8, 2.0, -1.5, 0.0
51.0, 2.0, -1.5, 0.0
51.2, 2.0, -1.4, 0.0
51.4, 1.9, -1.4, 0.0
51.6, 1.9, -1.4, 0.0
51.8, 1.9, -1.3, 0.0
52.0, 1.8, -1.3, 0.0
52.2, 1.8, -1.3, 0.0
52.4, 1.8, -1.2, 0.0
52.6, 1.8, -1.2, 0.0
