# Tiempo(s), X(m), Y(m), Z(m)
0.00, 5.00, 5.00, 0.30
0.20, 5.17, 5.00, 0.30
0.40, 5.33, 5.00, 0.30
0.60, 5.50, 5.00, 0.30
0.80, 5.67, 5.00, 0.30
1.00, 5.83, 5.00, 0.30
1.20, 6.00, 5.00, 0.30
1.40, 6.17, 5.00, 0.30
1.60, 6.33, 5.00, 0.30
1.80, 6.50, 5.00, 0.30
2.00, 6.67, 5.00, 0.30
2.20, 6.83, 5.00, 0.30
2.40, 7.00, 5.00, 0.30
2.60, 7.17, 5.00, 0.30
2.80, 7.33, 5.00, 0.30
3.00, 7.50, 5.00, 0.30
3.20, 7.67, 5.00, 0.30
3.40, 7.83, 5.00, 0.30
3.60, 8.12, 5.12, 0.30
3.80, 8.25, 5.25, 0.30
4.00, 8.38, 5.38, 0.30
4.20, 8.50, 5.50, 0.30
4.40, 8.62, 5.62, 0.30
4.60, 8.75, 5.75, 0.30
4.80, 8.88, 5.88, 0.30
5.00, 9.17, 6.00, 0.30
5.20, 9.33, 6.00, 0.30
5.40, 9.50, 6.00, 0.30
5.60, 9.67, 6.00, 0.30
5.80, 9.83, 6.00, 0.30
6.00, 10.00, 6.00, 0.30
6.20, 10.17, 6.00, 0.30
6.40, 10.33, 6.00, 0.30
6.60, 10.50, 6.00, 0.30
6.80, 10.67, 6.00, 0.30
7.00, 10.83, 6.00, 0.30
7.20, 11.00, 6.00, 0.30
7.40, 11.17, 6.00, 0.30
7.60, 11.33, 6.00, 0.30
7.80, 11.50, 6.00, 0.30
8.00, 11.67, 6.00, 0.30
8.20, 11.83, 6.00, 0.30
8.40, 12.12, 6.12, 0.30
8.60, 12.25, 6.25, 0.30
8.80, 12.38, 6.38, 0.30
9.00, 12.67, 6.50, 0.30
9.20, 12.83, 6.50, 0.30
9.40, 13.12, 6.62, 0.30
9.60, 13.25, 6.75, 0.30
9.80, 13.38, 6.88, 0.30
10.00, 13.67, 7.00, 0.30
10.20, 13.83, 7.00, 0.30
10.40, 14.12, 7.12, 0.30
10.60, 14.25, 7.25, 0.30
10.80, 14.38, 7.38, 0.30
11.00, 14.67, 7.50, 0.30
11.20, 14.83, 7.50, 0.30
11.40, 15.00, 7.50, 0.30
11.60, 15.17, 7.50, 0.30
11.80, 15.33, 7.50, 0.30
12.00, 15.62, 7.62, 0.30
12.20, 15.75, 7.75, 0.30
12.40, 15.88, 7.88, 0.30
12.60, 16.17, 8.00, 0.30
12.80, 16.34, 8.00, 0.30
13.00, 16.51, 8.00, 0.30
13.20, 16.68, 8.00, 0.30
13.40, 16.85, 8.00, 0.30
13.60, 17.02, 8.00, 0.30
13.80, 17.19, 8.00, 0.30
14.00, 17.36, 8.00, 0.30
14.20, 17.53, 8.00, 0.30
14.40, 17.70, 8.00, 0.30
14.60, 17.87, 8.00, 0.30
14.80, 18.04, 8.00, 0.30
15.00, 18.21, 8.00, 0.30
