# Tiempo(s), X(m), Y(m), Theta_Yaw(rad)
0.00,5.189,8.949,-0.006588
1.00,6.205,8.942,-0.006790
2.00,7.221,8.935,-0.006988
3.00,8.238,8.928,-0.007182
4.00,9.254,8.921,-0.007371
5.00,10.270,8.914,-0.007556
6.00,11.287,8.906,-0.007737
7.00,12.303,8.898,-0.007912
8.00,13.319,8.890,-0.008083
9.00,14.335,8.882,-0.008249
10.00,15.351,8.873,-0.008410
11.00,16.367,8.865,-0.008566
12.00,17.382,8.856,-0.008716
13.00,18.398,8.847,-0.008861
14.00,19.413,8.838,-0.009001
15.00,20.428,8.829,-0.009135
16.00,21.443,8.820,-0.009263
17.00,22.458,8.810,-0.009386
18.00,23.473,8.801,-0.009503
19.00,24.487,8.791,-0.009614
20.00,25.502,8.782,-0.009719
21.00,26.516,8.772,-0.009817
22.00,27.529,8.762,-0.009910
23.00,28.543,8.752,-0.009996
24.00,29.556,8.742,-0.010076
25.00,30.569,8.731,-0.010150
26.00,31.582,8.721,-0.010217
27.00,32.594,8.711,-0.010278
28.00,33.606,8.700,-0.010333
29.00,34.618,8.690,-0.010380
30.00,35.630,8.679,-0.010421
31.00,36.641,8.669,-0.010456
32.00,37.652,8.658,-0.010484
33.00,38.662,8.648,-0.010505
34.00,39.673,8.637,-0.010519
35.00,40.683,8.626,-0.010527
36.00,41.692,8.616,-0.010528
37.00,42.701,8.605,-0.010522
38.00,43.710,8.595,-0.010510
39.00,44.718,8.584,-0.010490
40.00,45.727,8.573,-0.010464
41.00,46.734,8.563,-0.010431
42.00,47.742,8.552,-0.010391
43.00,48.748,8.542,-0.010345
44.00,49.755,8.531,-0.010292
45.00,50.761,8.521,-0.010232
46.00,51.767,8.511,-0.010166
47.00,52.772,8.501,-0.010093
48.00,53.777,8.490,-0.010013
49.00,54.782,8.480,-0.009927
50.00,55.786,8.470,-0.009835
51.00,56.790,8.461,-0.009736
52.00,57.793,8.451,-0.009631
53.00,58.796,8.441,-0.009519
54.00,59.799,8.432,-0.009401
55.00,60.801,8.422,-0.009277
56.00,61.803,8.413,-0.009147
57.00,62.804,8.404,-0.009011
58.00,63.805,8.395,-0.008869
59.00,64.806,8.386,-0.008722
60.00,65.806,8.377,-0.008569
61.00,66.806,8.369,-0.008410
62.00,67.805,8.360,-0.008245
63.00,68.804,8.352,-0.008075
64.00,69.803,8.344,-0.007900
65.00,70.801,8.336,-0.007720
66.00,71.799,8.328,-0.007535
67.00,72.797,8.321,-0.007345
68.00,73.794,8.313,-0.007150
69.00,74.791,8.306,-0.006951
70.00,75.788,8.299,-0.006747
71.00,76.784,8.293,-0.006539
72.00,77.780,8.286,-0.006326
73.00,78.776,8.280,-0.006110
74.00,79.771,8.274,-0.005890
75.00,80.766,8.268,-0.005666
76.00,81.761,8.262,-0.005438
77.00,82.756,8.257,-0.005207
78.00,83.750,8.252,-0.004973
79.00,84.744,8.247,-0.004735
80.00,85.737,8.242,-0.004495
81.00,86.731,8.237,-0.004252
82.00,87.724,8.233,-0.004007
83.00,88.717,8.229,-0.003759
84.00,89.710,8.226,-0.003509
85.00,90.702,8.222,-0.003257
86.00,91.695,8.219,-0.003003
87.00,92.687,8.216,-0.002748
88.00,93.679,8.213,-0.002491
89.00,94.671,8.211,-0.002233
90.00,95.663,8.208,1.579758
91.00,95.654,9.206,1.579892
92.00,95.645,10.204,1.580014
93.00,95.635,11.202,1.580123
94.00,95.626,12.201,1.580221
95.00,95.617,13.199,-3.069845
96.00,95.607,13.199,-3.141173
97.00,94.597,13.198,-3.141430
98.00,93.587,13.198,3.141500
99.00,92.577,13.198,3.141245
100.00,91.566,13.198,3.140991
101.00,90.556,13.199,3.140738
102.00,89.546,13.200,3.140486
103.00,88.535,13.201,3.140235
104.00,87.525,13.202,3.139986
105.00,86.514,13.204,3.139739
106.00,85.504,13.206,3.139494
107.00,84.494,13.208,3.139251
108.00,83.483,13.210,3.139010
109.00,82.473,13.213,3.138771
110.00,81.463,13.216,3.138535
111.00,80.453,13.219,3.138301
112.00,79.443,13.222,3.138070
113.00,78.433,13.226,3.137843
114.00,77.423,13.230,3.137618
115.00,76.414,13.234,3.137397
116.00,75.404,13.238,3.137179
117.00,74.395,13.242,3.136965
118.00,73.386,13.247,3.136755
119.00,72.377,13.252,3.136548
120.00,71.368,13.257,3.136345
121.00,70.360,13.262,3.136147
122.00,69.351,13.268,3.135953
123.00,68.343,13.273,3.135763
124.00,67.335,13.279,3.135578
125.00,66.328,13.285,3.135397
126.00,65.320,13.292,3.135222
127.00,64.313,13.298,3.135051
128.00,63.306,13.305,3.134885
129.00,62.300,13.311,3.134724
130.00,61.293,13.318,3.134569
131.00,60.287,13.325,3.134419
132.00,59.282,13.333,3.134275
133.00,58.276,13.340,3.134136
134.00,57.271,13.347,3.134002
135.00,56.266,13.355,3.133875
136.00,55.262,13.363,3.133753
137.00,54.258,13.371,3.133637
138.00,53.254,13.379,3.133527
139.00,52.250,13.387,3.133424
140.00,51.247,13.395,3.133326
141.00,50.245,13.403,3.133235
142.00,49.242,13.412,3.133150
143.00,48.240,13.420,3.133071
144.00,47.238,13.429,3.132999
145.00,46.237,13.437,3.132933
146.00,45.236,13.446,3.132874
147.00,44.236,13.455,3.132821
148.00,43.236,13.463,3.132775
149.00,42.236,13.472,3.132735
150.00,41.236,13.481,3.132703
151.00,40.237,13.490,3.132676
152.00,39.239,13.499,3.132657
153.00,38.240,13.508,3.132644
154.00,37.242,13.517,3.132638
155.00,36.245,13.526,3.132639
156.00,35.248,13.535,3.132646
157.00,34.251,13.543,3.132661
158.00,33.255,13.552,3.132681
159.00,32.259,13.561,3.132709
160.00,31.263,13.570,3.132743
161.00,30.268,13.579,3.132784
162.00,29.273,13.588,3.132832
163.00,28.278,13.596,3.132886
164.00,27.284,13.605,3.132947
165.00,26.290,13.614,3.133014
166.00,25.297,13.622,3.133088
167.00,24.304,13.631,3.133168
168.00,23.311,13.639,3.133254
