# Tiempo(s), X(m), Y(m), Theta_Yaw(rad)
0.00, 5.00, 8.00, 0.000000
1.00, 6.00, 8.00, 0.000000
2.00, 7.00, 8.00, 0.000000
3.00, 8.00, 8.00, 0.000000
4.00, 9.00, 8.00, 0.000000
5.00, 10.00, 8.00, 0.000000
6.00, 11.00, 8.00, 0.000000
7.00, 12.00, 8.00, 0.000000
8.00, 13.00, 8.00, 0.000000
9.00, 14.00, 8.00, 0.000000
10.00, 15.00, 8.00, 0.000000
11.00, 16.00, 8.00, 0.000000
12.00, 17.00, 8.00, 0.000000
13.00, 18.00, 8.00, 0.000000
14.00, 19.00, 8.00, 0.000000
15.00, 20.00, 8.00, 0.000000
16.00, 21.00, 8.00, 0.000000
17.00, 22.00, 8.00, 0.000000
18.00, 23.00, 8.00, 0.000000
19.00, 24.00, 8.00, 0.000000
20.00, 25.00, 8.00, 0.000000
21.00, 26.00, 8.00, 0.000000
22.00, 27.00, 8.00, 0.000000
23.00, 28.00, 8.00, 0.000000
24.00, 29.00, 8.00, 0.000000
25.00, 30.00, 8.00, 0.000000
26.00, 31.00, 8.00, 0.000000
27.00, 32.00, 8.00, 0.000000
28.00, 33.00, 8.00, 0.000000
29.00, 34.00, 8.00, 0.000000
30.00, 35.00, 8.00, 0.000000
31.00, 36.00, 8.00, 0.000000
32.00, 37.00, 8.00, 0.000000
33.00, 38.00, 8.00, 0.000000
34.00, 39.00, 8.00, 0.000000
35.00, 40.00, 8.00, 0.000000
36.00, 41.00, 8.00, 0.000000
37.00, 42.00, 8.00, 0.000000
38.00, 43.00, 8.00, 0.000000
39.00, 44.00, 8.00, 0.000000
40.00, 45.00, 8.00, 0.000000
41.00, 46.00, 8.00, 0.000000
42.00, 47.00, 8.00, 0.000000
43.00, 48.00, 8.00, 0.000000
44.00, 49.00, 8.00, 0.000000
45.00, 50.00, 8.00, 0.000000
46.00, 51.00, 8.00, 0.000000
47.00, 52.00, 8.00, 0.000000
48.00, 53.00, 8.00, 0.000000
49.00, 54.00, 8.00, 0.000000
50.00, 55.00, 8.00, 0.000000
51.00, 56.00, 8.00, 0.000000
52.00, 57.00, 8.00, 0.000000
53.00, 58.00, 8.00, 0.000000
54.00, 59.00, 8.00, 0.000000
55.00, 60.00, 8.00, 0.000000
56.00, 61.00, 8.00, 0.000000
57.00, 62.00, 8.00, 0.000000
58.00, 63.00, 8.00, 0.000000
59.00, 64.00, 8.00, 0.000000
60.00, 65.00, 8.00, 0.000000
61.00, 66.00, 8.00, 0.000000
62.00, 67.00, 8.00, 0.000000
63.00, 68.00, 8.00, 0.000000
64.00, 69.00, 8.00, 0.000000
65.00, 70.00, 8.00, 0.000000
66.00, 71.00, 8.00, 0.000000
67.00, 72.00, 8.00, 0.000000
68.00, 73.00, 8.00, 0.000000
69.00, 74.00, 8.00, 0.000000
70.00, 75.00, 8.00, 0.000000
71.00, 76.00, 8.00, 0.000000
72.00, 77.00, 8.00, 0.000000
73.00, 78.00, 8.00, 0.000000
74.00, 79.00, 8.00, 0.000000
75.00, 80.00, 8.00, 0.000000
76.00, 81.00, 8.00, 0.000000
77.00, 82.00, 8.00, 0.000000
78.00, 83.00, 8.00, 0.000000
79.00, 84.00, 8.00, 0.000000
80.00, 85.00, 8.00, 0.000000
81.00, 86.00, 8.00, 0.000000
82.00, 87.00, 8.00, 0.000000
83.00, 88.00, 8.00, 0.000000
84.00, 89.00, 8.00, 0.000000
85.00, 90.00, 8.00, 0.000000
86.00, 91.00, 8.00, 0.000000
87.00, 92.00, 8.00, 0.000000
88.00, 93.00, 8.00, 0.000000
89.00, 94.00, 8.00, 0.000000
90.00, 95.00, 8.00, 1.570796
91.00, 95.00, 9.00, 1.570796
92.00, 95.00, 10.00, 1.570796
93.00, 95.00, 11.00, 1.570796
94.00, 95.00, 12.00, 1.570796
95.00, 95.00, 13.00, 1.570796
96.00, 95.00, 13.00, 3.141593
97.00, 94.00, 13.00, 3.141593
98.00, 93.00, 13.00, 3.141593
99.00, 92.00, 13.00, 3.141593
100.00, 91.00, 13.00, 3.141593
101.00, 90.00, 13.00, 3.141593
102.00, 89.00, 13.00, 3.141593
103.00, 88.00, 13.00, 3.141593
104.00, 87.00, 13.00, 3.141593
105.00, 86.00, 13.00, 3.141593
106.00, 85.00, 13.00, 3.141593
107.00, 84.00, 13.00, 3.141593
108.00, 83.00, 13.00, 3.141593
109.00, 82.00, 13.00, 3.141593
110.00, 81.00, 13.00, 3.141593
