# Tiempo(s), X(m), Y(m), Theta_Yaw(rad)
0.00, 0.00, 0.00, 0.00
0.20, 0.17, 0.00, 0.00
0.40, 0.33, 0.00, 0.00
0.60, 0.50, 0.00, 0.00
0.80, 0.67, 0.00, 0.00
1.00, 0.83, 0.00, 0.00
1.20, 1.00, 0.00, 0.00
1.40, 1.17, 0.00, 0.00
1.60, 1.33, 0.00, 0.00
1.80, 1.50, 0.00, 0.00
2.00, 1.67, 0.00, 0.00
2.20, 1.83, 0.00, 0.00
2.40, 2.00, 0.00, 0.00
2.60, 2.17, 0.00, 0.00
2.80, 2.33, 0.00, 0.00
3.00, 2.50, 0.00, 0.00
3.20, 2.67, 0.00, 0.00
3.40, 2.83, 0.00, 0.00
3.60, 3.12, 0.12, 0.79
3.80, 3.25, 0.25, 0.79
4.00, 3.38, 0.38, 0.79
4.20, 3.50, 0.50, 0.79
4.40, 3.62, 0.62, 0.79
4.60, 3.75, 0.75, 0.79
4.80, 3.88, 0.88, 0.79
5.00, 4.17, 1.00, 0.00
5.20, 4.33, 1.00, 0.00
5.40, 4.50, 1.00, 0.00
5.60, 4.67, 1.00, 0.00
5.80, 4.83, 1.00, 0.00
6.00, 5.00, 1.00, 0.00
6.20, 5.17, 1.00, 0.00
6.40, 5.33, 1.00, 0.00
6.60, 5.50, 1.00, 0.00
6.80, 5.67, 1.00, 0.00
7.00, 5.83, 1.00, 0.00
7.20, 6.00, 1.00, 0.00
7.40, 6.17, 1.00, 0.00
7.60, 6.33, 1.00, 0.00
7.80, 6.50, 1.00, 0.00
8.00, 6.67, 1.00, 0.00
8.20, 6.83, 1.00, 0.00
8.40, 7.12, 1.12, 0.79
8.60, 7.25, 1.25, 0.79
8.80, 7.38, 1.38, 0.79
9.00, 7.67, 1.50, 0.00
9.20, 7.83, 1.50, 0.00
9.40, 8.12, 1.62, 0.79
9.60, 8.25, 1.75, 0.79
9.80, 8.38, 1.88, 0.79
10.00, 8.67, 2.00, 0.00
10.20, 8.83, 2.00, 0.00
10.40, 9.12, 2.12, 0.79
10.60, 9.25, 2.25, 0.79
10.80, 9.38, 2.38, 0.79
11.00, 9.67, 2.50, 0.00
11.20, 9.83, 2.50, 0.00
11.40, 10.00, 2.50, 0.00
11.60, 10.17, 2.50, 0.00
11.80, 10.33, 2.50, 0.00
12.00, 10.62, 2.62, 0.79
12.20, 10.75, 2.75, 0.79
12.40, 10.88, 2.88, 0.79
12.60, 11.17, 3.00, 0.00
12.80, 11.34, 3.00, 0.00
13.00, 11.51, 3.00, 0.00
13.20, 11.68, 3.00, 0.00
13.40, 11.85, 3.00, 0.00
13.60, 12.02, 3.00, 0.00
13.80, 12.19, 3.00, 0.00
14.00, 12.36, 3.00, 0.00
14.20, 12.53, 3.00, 0.00
14.40, 12.70, 3.00, 0.00
14.60, 12.87, 3.00, 0.00
14.80, 13.04, 3.00, 0.00
15.00, 13.21, 3.00, 0.00
15.20, 13.38, 3.00, 0.00
15.40, 13.55, 3.00, 0.00
15.60, 13.72, 3.00, 0.00
15.80, 13.89, 3.00, 0.00
16.00, 14.06, 3.00, 0.00
16.20, 14.23, 3.00, 0.00
16.40, 14.40, 3.00, 0.00
16.60, 14.57, 3.00, 0.00
16.80, 14.74, 3.00, 0.00
17.00, 14.91, 3.00, 0.00
17.20, 15.08, 3.00, 0.00
17.40, 15.25, 3.00, 0.00
17.60, 15.42, 3.00, 0.00
17.80, 15.59, 3.00, 0.00
18.00, 15.76, 3.00, 0.00
18.20, 15.93, 3.00, 0.00
18.40, 16.10, 3.00, 0.00
18.60, 16.27, 3.00, 0.00
18.80, 16.44, 3.00, 0.00
19.00, 16.61, 3.00, 0.00
19.20, 16.78, 3.00, 0.00
19.40, 16.95, 3.00, 0.00
19.60, 17.12, 3.00, 0.00
19.80, 17.29, 3.00, 0.00
20.00, 17.46, 3.00, 0.00
20.20, 17.63, 3.00, 0.00
20.40, 17.80, 3.00, 0.00
20.60, 17.97, 3.00, 0.00
20.80, 18.14, 3.00, 0.00
21.00, 18.31, 3.00, 0.00
21.20, 18.48, 3.00, 0.00
21.40, 18.65, 3.00, 0.00
21.60, 18.82, 3.00, 0.00
21.80, 18.99, 3.00, 0.00
22.00, 19.16, 3.00, 0.00
22.20, 19.33, 3.00, 0.00
22.40, 19.50, 3.00, 0.00
22.60, 19.67, 3.00, 0.00
22.80, 19.84, 3.00, 0.00
23.00, 20.01, 3.00, 0.00
23.20, 20.18, 3.00, 0.00
23.40, 20.35, 3.00, 0.00
23.60, 20.52, 3.00, 0.00
23.80, 20.69, 3.00, 0.00
24.00, 20.86, 3.00, 0.00
24.20, 21.03, 3.00, 0.00
24.40, 21.20, 3.00, 0.00
24.60, 21.37, 3.00, 0.00
24.80, 21.54, 3.00, 0.00
25.00, 21.71, 3.00, 0.00
25.20, 21.88, 3.00, 0.00
25.40, 22.05, 3.00, 0.00
25.60, 22.22, 3.00, 0.00
25.80, 22.39, 3.00, 0.00
26.00, 22.56, 3.00, 0.00
26.20, 22.73, 3.00, 0.00
26.40, 22.90, 3.00, 0.00
26.60, 23.07, 3.00, 0.00
26.80, 23.24, 3.00, 0.00
27.00, 23.41, 3.00, 0.00
27.20, 23.59, 3.00, 0.00
27.40, 23.76, 3.00, 0.00
27.60, 23.93, 3.00, 0.00
27.80, 24.10, 3.00, 0.00
28.00, 24.27, 3.00, 0.00
28.20, 24.44, 3.00, 0.00
28.40, 24.61, 3.00, 0.00
28.60, 24.78, 3.00, 0.00
28.80, 24.95, 3.00, 0.00
29.00, 25.12, 3.00, 0.00
29.20, 25.29, 3.00, 0.00
29.40, 25.46, 3.00, 0.00
29.60, 25.63, 3.00, 0.00
29.80, 25.80, 3.00, 0.00
30.00, 25.97, 3.00, 0.00
30.20, 26.14, 3.00, 0.00
30.40, 26.31, 3.00, 0.00
30.60, 26.48, 3.00, 0.00
30.80, 26.65, 3.00, 0.00
31.00, 26.82, 3.00, 0.00
31.20, 26.99, 3.00, 0.00
31.40, 27.16, 3.00, 0.00
31.60, 27.33, 3.00, 0.00
31.80, 27.50, 3.00, 0.00
32.00, 27.67, 3.00, 0.00
32.20, 27.84, 3.00, 0.00
32.40, 28.01, 3.00, 0.00
32.60, 28.18, 3.00, 0.00
32.80, 28.35, 3.00, 0.00
33.00, 28.52, 3.00, 0.00
33.20, 28.69, 3.00, 0.00
33.40, 28.86, 3.00, 0.00
33.60, 29.03, 3.00, 0.00
33.80, 29.20, 3.00, 0.00
34.00, 29.37, 3.00, 0.00
34.20, 29.54, 3.00, 0.00
34.40, 29.71, 3.00, 0.00
34.60, 29.88, 3.00, 0.00
34.80, 30.05, 3.00, 0.00
35.00, 30.22, 3.00, 0.00
35.20, 30.39, 3.00, 0.00
35.40, 30.56, 3.00, 0.00
35.60, 30.73, 3.00, 0.00
35.80, 30.90, 3.00, 0.00
36.00, 31.07, 3.00, 0.00
36.20, 31.24, 3.00, 0.00
