# xMin,xMax,yMin,yMax,zMin,zMax,BuildingType,ExtWallType
-0.125,0.025,0.85,5.35,0.0,2.5,1,1
2.225,2.375,5.082,5.35,0.0,2.5,1,1
2.225,2.375,4.182,5.083,2.0,2.5,1,1
2.225,2.375,0.85,4.182,0.0,2.5,1,1
6.669,7.575,-0.25,-0.1,0.0,2.5,1,1
4.825,5.769,-0.25,-0.1,0.0,2.5,1,1
5.769,6.669,-0.25,-0.1,2.0,2.5,1,1
1.562,2.375,-0.25,-0.1,0.0,1.0,1,1
-5.125,0.662,-0.25,-0.1,0.0,1.0,1,1
2.578,7.578,5.194,5.344,0.0,2.5,1,1
-0.125,2.625,5.194,5.344,0.0,2.5,1,1
-2.4,-0.137,5.2,5.35,1.7,2.5,1,1
-2.771,-2.4,5.2,5.35,0.5,2.5,1,1
-4.975,-2.771,5.2,5.35,1.7,2.5,1,1
-0.137,0.025,5.2,5.35,0.0,2.5,1,1
-4.975,-0.137,5.2,5.35,0.0,0.5,1,1
-2.771,-2.4,5.2,5.35,0.5,2.5,1,1
-4.975,-2.771,5.2,5.35,1.7,2.5,1,1
-7.575,-4.825,5.2,5.35,0.0,2.5,1,1
-7.575,-7.425,1.812,3.144,1.7,2.5,1,1
-7.575,-7.425,0.85,1.812,0.5,2.5,1,1
-7.575,-7.425,0.85,3.144,0.0,0.5,1,1
-7.575,-7.425,3.144,5.35,0.0,2.5,1,1
-7.575,-7.425,-0.981,0.431,1.7,2.5,1,1
-7.575,-7.425,-3.322,-2.123,1.7,2.5,1,1
-7.575,-7.425,-2.123,-0.981,0.5,2.5,1,1
-7.575,-7.425,-4.0,0.431,0.0,0.5,1,1
-7.575,-7.425,-4.0,-3.322,0.5,2.5,1,1
-7.575,-7.425,0.431,1.0,0.0,2.5,1,1
-7.575,-5.075,-4.0,-3.85,0.0,2.5,1,1
-5.227,-5.077,-3.996,1.004,0.0,2.5,1,1
-0.125,2.375,0.85,1.0,0.0,2.5,1,1
2.225,2.375,0.853,1.0,0.0,2.5,1,1
2.225,2.375,-0.25,-0.047,0.0,2.5,1,1
2.225,2.375,-0.047,0.853,2.0,2.5,1,1
2.225,4.975,-0.25,-0.1,0.0,2.5,1,1
4.825,4.975,-5.35,-0.1,0.0,2.5,1,1
4.825,7.575,-5.35,-5.2,0.0,2.5,1,1
7.425,7.575,-3.4,-2.124,0.5,2.5,1,1
7.425,7.575,-0.474,-0.1,0.5,2.5,1,1
7.425,7.575,-2.124,-0.474,1.7,2.5,1,1
7.425,7.575,-5.35,-4.759,0.0,2.5,1,1
7.425,7.575,-4.759,-0.1,0.0,0.5,1,1
7.425,7.575,-4.759,-3.4,1.7,2.5,1,1
7.425,7.575,3.888,5.25,0.5,2.5,1,1
7.425,7.575,-0.25,1.253,0.0,2.5,1,1
7.425,7.575,1.253,3.888,1.7,2.5,1,1
7.425,7.575,1.253,5.25,0.0,0.5,1,1
-7.575,-6.759,0.85,1.0,0.0,2.5,1,1
-5.859,-5.075,0.85,1.0,0.0,2.5,1,1
-6.759,-5.859,0.85,1.0,2.0,2.5,1,1
-5.225,-5.075,0.85,2.108,0.0,2.5,1,1
-5.225,-5.075,4.524,5.35,0.0,2.5,1,1
-5.225,-5.075,2.108,4.524,2.0,2.5,1,1
-6.994,-6.094,5.195,5.205,0.0,1.2,1,0
-6.104,-6.084,4.8,5.2,0.0,1.2,1,0
-7.004,-6.984,4.8,5.2,0.0,1.2,1,0
-6.984,-6.104,4.8,5.2,0.0,0.06,1,0
-6.984,-6.104,4.8,5.2,1.18,1.2,1,0
-6.984,-6.104,4.8,5.2,0.42,0.44,1,0
-6.984,-6.104,4.8,5.2,0.79,0.81,1,0
4.274,5.174,5.179,5.189,0.0,1.2,1,0
5.164,5.184,4.784,5.184,0.0,1.2,1,0
4.264,4.284,4.784,5.184,0.0,1.2,1,0
4.284,5.164,4.784,5.184,0.0,0.06,1,0
4.284,5.164,4.784,5.184,1.18,1.2,1,0
4.284,5.164,4.784,5.184,0.42,0.44,1,0
4.284,5.164,4.784,5.184,0.79,0.81,1,0
5.194,6.094,5.179,5.189,0.0,1.2,1,0
6.084,6.104,4.784,5.184,0.0,1.2,1,0
5.184,5.204,4.784,5.184,0.0,1.2,1,0
5.204,6.084,4.784,5.184,0.0,0.06,1,0
5.204,6.084,4.784,5.184,1.18,1.2,1,0
5.204,6.084,4.784,5.184,0.42,0.44,1,0
5.204,6.084,4.784,5.184,0.79,0.81,1,0
-5.697,-5.247,-1.801,-1.351,0.0,0.02,1,0
-5.247,-5.227,-1.801,-1.351,0.0,1.02,1,0
-5.697,-5.247,-1.351,-1.331,0.0,1.02,1,0
-5.697,-5.247,-1.801,-1.351,0.5,0.52,1,0
-5.697,-5.247,-1.821,-1.801,0.0,1.02,1,0
-5.697,-5.247,-1.801,-1.351,1.0,1.02,1,0
-5.698,-5.248,-2.29,-1.84,0.0,0.02,1,0
-5.248,-5.228,-2.29,-1.84,0.0,1.02,1,0
-5.698,-5.248,-1.84,-1.82,0.0,1.02,1,0
-5.698,-5.248,-2.29,-1.84,0.5,0.52,1,0
-5.698,-5.248,-2.31,-2.29,0.0,1.02,1,0
-5.698,-5.248,-2.29,-1.84,1.0,1.02,1,0
-7.409,-6.959,1.023,1.473,0.0,0.02,1,0
-7.409,-6.959,1.003,1.023,0.0,1.02,1,0
-6.959,-6.939,1.023,1.473,0.0,1.02,1,0
-7.409,-6.959,1.023,1.473,0.5,0.52,1,0
-7.429,-7.409,1.023,1.473,0.0,1.02,1,0
-7.409,-6.959,1.023,1.473,1.0,1.02,1,0
5.903,6.816,-3.649,-2.736,0.735,0.775,1,0
6.338,6.38,-3.213,-3.171,0.0,0.74,1,0
6.079,6.639,-3.472,-2.912,0.0,0.04,1,0
5.903,6.816,-2.734,-1.821,0.735,0.775,1,0
6.338,6.38,-2.299,-2.257,0.0,0.74,1,0
6.079,6.639,-2.558,-1.998,0.0,0.04,1,0
-3.407,-1.907,2.024,2.824,0.985,1.015,1,0
-1.997,-1.957,2.784,2.824,0.0,1.0,1,0
-1.997,-1.957,2.024,2.064,0.0,1.0,1,0
-3.357,-3.317,2.024,2.064,0.0,1.0,1,0
-3.357,-3.317,2.784,2.824,0.0,1.0,1,0
