Time_s,Src_MAC,Seq_Num,RSSI_dBm
0.00509042,00:02,0,-39
0.0569242,00:03,0,-93
0.106644,00:04,0,-98
0.507613,00:02,1,-39
0.55515,00:03,1,-93
0.606209,00:04,1,-98
1.00488,00:02,2,-40
1.05408,00:03,2,-93
1.10538,00:04,2,-98
1.50535,00:02,3,-40
1.55684,00:03,3,-93
1.60542,00:04,3,-98
2.00559,00:02,4,-41
2.05514,00:03,4,-93
2.1047,00:04,4,-98
2.50539,00:02,5,-42
2.55549,00:03,5,-93
2.60561,00:04,5,-98
3.0056,00:02,6,-43
3.05514,00:03,6,-93
3.10622,00:04,6,-98
3.50661,00:02,7,-44
3.55685,00:03,7,-93
3.60642,00:04,7,-98
4.00816,00:02,8,-45
4.05648,00:03,8,-92
4.10626,00:04,8,-98
4.5047,00:02,9,-46
4.55657,00:03,9,-92
4.60386,00:04,9,-98
5.00682,00:02,10,-47
5.05389,00:03,10,-92
5.10444,00:04,10,-98
5.50687,00:02,11,-47
5.55427,00:03,11,-92
5.60515,00:04,11,-98
6.00722,00:02,12,-48
6.05587,00:03,12,-92
6.10568,00:04,12,-98
6.50628,00:02,13,-49
6.55433,00:03,13,-92
6.60657,00:04,13,-98
7.00643,00:02,14,-49
7.05653,00:03,14,-92
7.10731,00:04,14,-98
7.50426,00:02,15,-50
7.55471,00:03,15,-92
7.60703,00:04,15,-98
8.00545,00:02,16,-51
8.0566,00:03,16,-92
8.10534,00:04,16,-98
8.50679,00:02,17,-51
8.55759,00:03,17,-92
8.60431,00:04,17,-98
9.0071,00:02,18,-52
9.05514,00:03,18,-92
9.10641,00:04,18,-98
9.50487,00:02,19,-52
9.55605,00:03,19,-91
9.60532,00:04,19,-97
10.0062,00:02,20,-53
10.0564,00:03,20,-91
10.105,00:04,20,-97
10.5056,00:02,21,-54
10.5545,00:03,21,-91
10.6067,00:04,21,-97
11.0055,00:02,22,-54
11.0535,00:03,22,-91
11.1041,00:04,22,-97
11.5061,00:02,23,-54
11.5537,00:03,23,-91
11.606,00:04,23,-97
12.0057,00:02,24,-55
12.0571,00:03,24,-91
12.1059,00:04,24,-97
12.5066,00:02,25,-55
12.5559,00:03,25,-91
12.6052,00:04,25,-97
13.0059,00:02,26,-56
13.056,00:03,26,-91
13.1057,00:04,26,-97
13.5057,00:02,27,-56
13.5559,00:03,27,-91
13.6054,00:04,27,-97
14.0063,00:02,28,-56
14.0556,00:03,28,-91
14.1065,00:04,28,-97
14.5078,00:02,29,-57
14.5553,00:03,29,-90
14.6072,00:04,29,-97
15.0049,00:02,30,-57
15.055,00:03,30,-90
15.1054,00:04,30,-97
15.507,00:02,31,-57
15.5569,00:03,31,-90
15.606,00:04,31,-97
16.0054,00:02,32,-58
16.0559,00:03,32,-90
16.1061,00:04,32,-97
16.5056,00:02,33,-58
16.5567,00:03,33,-90
16.6078,00:04,33,-97
17.0064,00:02,34,-58
17.0541,00:03,34,-90
17.1069,00:04,34,-97
17.5073,00:02,35,-58
17.5548,00:03,35,-90
17.606,00:04,35,-97
18.0057,00:02,36,-59
18.0554,00:03,36,-90
18.1067,00:04,36,-97
