Time_s,Src_MAC,Seq_Num,RSSI_dBm
0.00678496,00:02,0,-45
0.0552887,00:03,0,-93
0.107977,00:04,0,-95
0.507087,00:02,1,-45
0.552424,00:03,1,-92
0.606712,00:04,1,-95
1.00733,00:02,2,-45
1.05311,00:03,2,-92
1.10841,00:04,2,-95
1.50706,00:02,3,-46
1.55546,00:03,3,-92
1.60667,00:04,3,-95
2.00955,00:02,4,-46
2.05488,00:03,4,-92
2.10753,00:04,4,-95
2.50831,00:02,5,-47
2.55376,00:03,5,-92
2.60852,00:04,5,-95
3.00818,00:02,6,-48
3.05546,00:03,6,-92
3.1051,00:04,6,-95
3.50647,00:02,7,-48
3.55434,00:03,7,-92
3.60758,00:04,7,-95
4.00722,00:02,8,-49
4.05483,00:03,8,-92
4.1073,00:04,8,-95
4.50817,00:02,9,-49
4.55478,00:03,9,-92
4.60576,00:04,9,-95
5.00763,00:02,10,-50
5.05433,00:03,10,-92
5.10589,00:04,10,-95
5.50702,00:02,11,-51
5.55592,00:03,11,-91
5.60699,00:04,11,-95
6.00579,00:02,12,-51
6.05242,00:03,12,-91
6.10626,00:04,12,-95
6.50675,00:02,13,-52
6.55441,00:03,13,-91
6.60616,00:04,13,-95
7.00683,00:02,14,-52
7.05464,00:03,14,-91
7.10572,00:04,14,-95
7.50908,00:02,15,-53
7.5556,00:03,15,-91
7.60521,00:04,15,-95
8.00808,00:02,16,-53
8.05574,00:03,16,-91
8.10641,00:04,16,-95
8.50662,00:02,17,-54
8.55391,00:03,17,-91
8.60579,00:04,17,-95
9.00868,00:02,18,-54
9.05311,00:03,18,-91
9.10577,00:04,18,-95
9.50805,00:02,19,-55
9.55439,00:03,19,-91
9.60679,00:04,19,-95
10.0065,00:02,20,-55
10.0546,00:03,20,-91
10.1047,00:04,20,-95
10.5081,00:02,21,-56
10.553,00:03,21,-90
10.6051,00:04,21,-95
11.0085,00:02,22,-56
11.055,00:03,22,-90
11.1075,00:04,22,-95
11.5083,00:02,23,-57
11.5529,00:03,23,-90
11.6074,00:04,23,-95
12.0079,00:02,24,-57
12.055,00:03,24,-90
12.1081,00:04,24,-95
12.5076,00:02,25,-57
12.5546,00:03,25,-90
12.6059,00:04,25,-95
13.0084,00:02,26,-58
13.0531,00:03,26,-90
13.107,00:04,26,-94
13.506,00:02,27,-58
13.5535,00:03,27,-90
13.6077,00:04,27,-94
14.0094,00:02,28,-58
14.0541,00:03,28,-90
14.1086,00:04,28,-94
14.5074,00:02,29,-59
14.5543,00:03,29,-89
14.606,00:04,29,-94
15.0079,00:02,30,-59
15.0539,00:03,30,-89
15.1063,00:04,30,-94
15.507,00:02,31,-59
15.5546,00:03,31,-89
15.6063,00:04,31,-94
16.007,00:02,32,-60
16.0537,00:03,32,-89
16.1082,00:04,32,-94
16.5074,00:02,33,-60
16.5559,00:03,33,-89
16.607,00:04,33,-94
17.0077,00:02,34,-60
17.0534,00:03,34,-89
17.1056,00:04,34,-94
17.507,00:02,35,-60
17.5558,00:03,35,-89
17.605,00:04,35,-94
18.0071,00:02,36,-61
18.055,00:03,36,-89
18.1064,00:04,36,-94
18.5066,00:02,37,-61
18.5554,00:03,37,-89
18.6054,00:04,37,-94
19.0091,00:02,38,-62
19.0547,00:03,38,-88
19.1065,00:04,38,-94
19.5089,00:02,39,-62
19.5541,00:03,39,-88
19.6075,00:04,39,-94
20.007,00:02,40,-63
20.0534,00:03,40,-88
20.1069,00:04,40,-94
20.5092,00:02,41,-63
20.5541,00:03,41,-88
20.6069,00:04,41,-94
21.0061,00:02,42,-63
21.0556,00:03,42,-88
21.1068,00:04,42,-94
21.5089,00:02,43,-64
21.5555,00:03,43,-88
21.6059,00:04,43,-94
22.0075,00:02,44,-64
22.0546,00:03,44,-88
22.108,00:04,44,-94
22.5083,00:02,45,-65
22.5559,00:03,45,-88
22.6048,00:04,45,-94
23.0067,00:02,46,-65
23.0536,00:03,46,-87
23.106,00:04,46,-94
23.5059,00:02,47,-65
23.5543,00:03,47,-87
23.6063,00:04,47,-94
24.0056,00:02,48,-66
24.0524,00:03,48,-87
24.1056,00:04,48,-94
24.5078,00:02,49,-66
24.5534,00:03,49,-87
24.6055,00:04,49,-94
25.0068,00:02,50,-66
