Time_s,Src_MAC,Seq_Num,RSSI_dBm
0.00278405,00:01,0,-91
0.052592,00:02,0,-51
0.101952,00:03,0,-83
0.150992,00:04,0,-94
0.201952,00:05,0,-83
0.252272,00:06,0,-80
0.302912,00:07,0,-93
0.352592,00:08,0,-83
0.402272,00:09,0,-77
0.500992,00:01,1,-84
0.552592,00:02,1,-53
0.602912,00:03,1,-80
0.653232,00:04,1,-91
0.701312,00:05,1,-90
0.752592,00:06,1,-71
0.800992,00:07,1,-86
0.851312,00:08,1,-101
0.902272,00:09,1,-74
1.00099,00:01,2,-84
1.05195,00:02,2,-55
1.10323,00:03,2,-94
1.15227,00:04,2,-89
1.20131,00:05,2,-83
1.25099,00:06,2,-79
1.30323,00:07,2,-91
1.35195,00:08,2,-85
1.40259,00:09,2,-93
1.50323,00:01,3,-79
1.55227,00:02,3,-68
1.60323,00:03,3,-83
1.65291,00:04,3,-90
1.70099,00:05,3,-82
1.75195,00:06,3,-71
1.80099,00:07,3,-89
1.90163,00:09,3,-77
2.00323,00:01,4,-75
2.05131,00:02,4,-69
2.10259,00:03,4,-89
2.15323,00:04,4,-92
2.20195,00:05,4,-87
2.25131,00:06,4,-68
2.30227,00:07,4,-80
2.35323,00:08,4,-89
2.40291,00:09,4,-82
2.50323,00:01,5,-78
2.55195,00:02,5,-60
2.60131,00:03,5,-91
2.65099,00:04,5,-98
2.70163,00:05,5,-86
2.75195,00:06,5,-74
2.80099,00:07,5,-83
2.85099,00:08,5,-92
2.90227,00:09,5,-73
3.00259,00:01,6,-75
3.05291,00:02,6,-73
3.10099,00:03,6,-85
3.15259,00:04,6,-88
3.20227,00:05,6,-82
3.25099,00:06,6,-81
3.30131,00:07,6,-84
3.35323,00:08,6,-87
3.40131,00:09,6,-80
3.50227,00:01,7,-77
3.55099,00:02,7,-67
3.60323,00:03,7,-89
3.65291,00:04,7,-88
3.70163,00:05,7,-84
3.75291,00:06,7,-77
3.80163,00:07,7,-89
3.85291,00:08,7,-86
3.90291,00:09,7,-80
